DateTime,Index_Price,BTC_Volatility_Index_DVOL
2024-04-20 00:00:00,64151.348133,68.56
2024-04-20 12:00:00,63830.281635,68.49
2024-04-21 00:00:00,64854.393357,71.5
2024-04-21 12:00:00,65054.298669,71.37
2024-04-22 00:00:00,64816.803479,70.39
2024-04-22 12:00:00,66096.73961,69.1
2024-04-23 00:00:00,66624.277937,67.9
2024-04-23 12:00:00,66248.484934,64.11
2024-04-24 00:00:00,66450.570472,63.89
2024-04-24 12:00:00,66554.634487,62.39
2024-04-25 00:00:00,64211.183326,57.82
2024-04-25 12:00:00,63957.133606,58.08
2024-04-26 00:00:00,64691.638784,54.9
2024-04-26 12:00:00,64350.259273,54.23
2024-04-27 00:00:00,63902.700198,54.44
2024-04-27 12:00:00,62920.889486,54.21
2024-04-28 00:00:00,63262.256347,53.89
2024-04-28 12:00:00,63746.116864,56.2
2024-04-29 00:00:00,63520.219024,55.09
2024-04-29 12:00:00,62335.230413,55.12
2024-04-30 00:00:00,63163.69625,52.22
2024-04-30 12:00:00,62370.533139,56.47
2024-05-01 00:00:00,60196.404705,58.29
2024-05-01 12:00:00,57817.081212,61.01
2024-05-02 00:00:00,57809.868042,56.93
2024-05-02 12:00:00,57794.021088,55.84
2024-05-03 00:00:00,59180.758934,54.75
2024-05-03 12:00:00,59285.921649,54.3
2024-05-04 00:00:00,62464.795357,55.88
2024-05-04 12:00:00,63348.930935,56.62
2024-05-05 00:00:00,63796.609578,56.53
2024-05-05 12:00:00,63662.762378,57.44
2024-05-06 00:00:00,63888.29486,57.91
2024-05-06 12:00:00,64636.420664,55.56
2024-05-07 00:00:00,63309.305859,55
2024-05-07 12:00:00,63913.979699,53.72
2024-05-08 00:00:00,62954.377953,52.28
2024-05-08 12:00:00,62315.85918,52.69
2024-05-09 00:00:00,61759.859787,53.86
2024-05-09 12:00:00,61249.445419,52.15
2024-05-10 00:00:00,62556.516181,50.76
2024-05-10 12:00:00,63017.315526,51.81
2024-05-11 00:00:00,60676.941275,53.09
2024-05-11 12:00:00,60834.397343,52.64
2024-05-12 00:00:00,60993.109367,53.9
2024-05-12 12:00:00,60997.295868,54.5
2024-05-13 00:00:00,61337.69985,54.4
2024-05-13 12:00:00,62325.042553,55.75
2024-05-14 00:00:00,62913.607414,55.61
2024-05-14 12:00:00,61820.702391,55.91
2024-05-15 00:00:00,61536.997206,55.67
2024-05-15 12:00:00,62249.126484,57.23
2024-05-16 00:00:00,65913.889031,57.24
2024-05-16 12:00:00,66157.6523,57.25
2024-05-17 00:00:00,65247.885784,55.11
2024-05-17 12:00:00,66187.456415,54.81
2024-05-18 00:00:00,66809.928223,55.14
2024-05-18 12:00:00,67067.76032,56.46
2024-05-19 00:00:00,66910.353036,56.38
2024-05-19 12:00:00,67176.695648,56.76
2024-05-20 00:00:00,66321.89974,56.76
2024-05-20 12:00:00,66956.858633,58.02
2024-05-21 00:00:00,69550.943411,58.85
2024-05-21 12:00:00,71073.172571,58.18
2024-05-22 00:00:00,69783.666706,56.59
2024-05-22 12:00:00,69946.594069,55.95
2024-05-23 00:00:00,69398.956863,55.39
2024-05-23 12:00:00,69646.876894,53.16
2024-05-24 00:00:00,67470.611674,51
2024-05-24 12:00:00,67201.60957,51.76
2024-05-25 00:00:00,68874.177786,51.69
2024-05-25 12:00:00,68964.60433,52.13
2024-05-26 00:00:00,69158.335006,52.09
2024-05-26 12:00:00,69143.189557,52.3
2024-05-27 00:00:00,68640.983424,52.34
2024-05-27 12:00:00,68529.362811,52.48
2024-05-28 00:00:00,69636.879876,52.89
2024-05-28 12:00:00,68100.832935,54.23
2024-05-29 00:00:00,68221.410725,53.24
2024-05-29 12:00:00,67985.514451,52.85
2024-05-30 00:00:00,67450.983605,52.24
2024-05-30 12:00:00,67719.807144,52.13
2024-05-31 00:00:00,68613.615914,50.23
2024-05-31 12:00:00,68204.572121,50.52
2024-06-01 00:00:00,67473.704268,49.97
2024-06-01 12:00:00,67618.782717,50.45
2024-06-02 00:00:00,67713.203291,50.39
2024-06-02 12:00:00,67639.952344,50.59
2024-06-03 00:00:00,67740.299199,50.9
2024-06-03 12:00:00,69023.879262,52.77
2024-06-04 00:00:00,69112.262806,51.52
2024-06-04 12:00:00,68891.058446,51.72
2024-06-05 00:00:00,70552.209268,53.94
2024-06-05 12:00:00,70975.847712,55.36
2024-06-06 00:00:00,71172.540782,54.12
2024-06-06 12:00:00,70962.828533,51.81
2024-06-07 00:00:00,70781.898474,51.72
2024-06-07 12:00:00,71218.987865,50.02
2024-06-08 00:00:00,69204.176272,49.76
2024-06-08 12:00:00,69401.174238,49.67
2024-06-09 00:00:00,69388.389225,49.74
2024-06-09 12:00:00,69339.66682,49.85
2024-06-10 00:00:00,69694.648796,51.49
2024-06-10 12:00:00,69408.593979,50.79
2024-06-11 00:00:00,69598.005073,50.44
2024-06-11 12:00:00,67358.917321,51.64
2024-06-12 00:00:00,67274.092457,51.72
2024-06-12 12:00:00,67549.27487,50.51
2024-06-13 00:00:00,68396.581947,49.43
2024-06-13 12:00:00,67561.8029,48.57
2024-06-14 00:00:00,66773.935887,47.95
2024-06-14 12:00:00,66960.834003,47.45
2024-06-15 00:00:00,65720.821452,48.38
2024-06-15 12:00:00,66184.011594,47.68
2024-06-16 00:00:00,66109.511208,47.83
2024-06-16 12:00:00,66328.002531,47.9
2024-06-17 00:00:00,66565.690714,47.9
2024-06-17 12:00:00,66020.660048,48.5
2024-06-18 00:00:00,66630.587108,48.33
2024-06-18 12:00:00,65555.492764,48.99
2024-06-19 00:00:00,64832.997037,49.52
2024-06-19 12:00:00,65304.360485,48.57
2024-06-20 00:00:00,64928.740146,48.33
2024-06-20 12:00:00,65786.976698,48.28
2024-06-21 00:00:00,65016.425817,46.25
2024-06-21 12:00:00,64170.961146,47.03
2024-06-22 00:00:00,64071.565652,46.16
2024-06-22 12:00:00,64327.338867,46.2
2024-06-23 00:00:00,64274.510526,46.09
2024-06-23 12:00:00,64354.331644,46.74
2024-06-24 00:00:00,63830.699543,47.48
2024-06-24 12:00:00,61925.498785,49.13
2024-06-25 00:00:00,59912.392879,47.82
2024-06-25 12:00:00,61042.301858,47.84
2024-06-26 00:00:00,61901.03445,46.66
2024-06-26 12:00:00,61476.530344,46.9
2024-06-27 00:00:00,60903.396475,46.58
