Time,total_volume
2/13/2023,23154.3901654999
2/14/2023,23500.2250882216
2/15/2023,36695.6747138825
2/16/2023,48271.7417785169
2/17/2023,38672.2739657704
2/18/2023,10120.7049016581
2/19/2023,18476.2708318846
2/20/2023,23582.7571598654
2/21/2023,30363.1920694898
2/22/2023,29672.1554288592
2/23/2023,28386.3557516526
2/24/2023,32940.7151252312
2/25/2023,10725.1476426354
2/26/2023,11431.9851713284
2/27/2023,21254.3742366272
2/28/2023,16860.8251393566
3/1/2023,20980.4143550613
3/2/2023,15605.2606726318
3/3/2023,35809.7744191892
3/4/2023,5433.83031668701
3/5/2023,9118.71656396815
3/6/2023,16365.5367409916
3/7/2023,19284.9974006824
3/8/2023,21488.8782543612
3/9/2023,39095.1620670823
3/10/2023,54842.9467560432
3/11/2023,44813.4830057029
3/12/2023,39998.7802293158
3/13/2023,73512.3450392899
3/14/2023,82696.8811181939
3/15/2023,48985.6099190011
3/16/2023,35247.4984582562
3/17/2023,73108.0290599497
3/18/2023,33829.6253789011
3/19/2023,33443.6803658497
3/20/2023,43397.1873770509
3/21/2023,30161.3253977803
3/22/2023,58508.1020321244
3/23/2023,44856.3444478465
3/24/2023,36918.5770016121
3/25/2023,15479.0631436353
3/26/2023,16370.8334507193
3/27/2023,30328.2972917286
3/28/2023,24215.1296063492
3/29/2023,30949.1565860021
3/30/2023,35944.6680805274
3/31/2023,30194.5095081733
4/1/2023,12002.6169418764
4/2/2023,11623.0350715267
4/3/2023,29726.6819052723
4/4/2023,21234.5382522253
4/5/2023,25069.5011006486
4/6/2023,16577.0486734976
4/7/2023,9167.96095822077
4/8/2023,6373.24026214263
4/9/2023,10579.9766037681
4/10/2023,28584.6517121462
4/11/2023,32984.2197447793
4/12/2023,25906.0557061549
4/13/2023,21576.2525517526
4/14/2023,33187.584356983
4/15/2023,9372.5609823433
4/16/2023,11340.5939708204
4/17/2023,24089.0485748631
4/18/2023,23907.0330551976
4/19/2023,39247.6486318857
4/20/2023,28688.5047259224
4/21/2023,31668.9824584284
4/22/2023,13072.2344204309
4/23/2023,10914.3035972724
4/24/2023,22621.1126363116
4/25/2023,20944.2153274354
4/26/2023,53922.747590105
4/27/2023,36824.7610726514
4/28/2023,23777.1144906132
4/29/2023,8658.82407999544
4/30/2023,15057.5250233373
5/1/2023,30202.2000866319
5/2/2023,22480.0612767541
5/3/2023,26215.5806726996
5/4/2023,18126.4798792919
5/5/2023,24556.7548701621
5/6/2023,15941.3827996308
5/7/2023,10532.4645974729
5/8/2023,27976.5985148886
5/9/2023,17346.0164433365
5/10/2023,31978.6594243231
5/11/2023,23021.1242353338
5/12/2023,34461.6662706859
5/13/2023,9079.53857092359
5/14/2023,8340.91820109104
5/15/2023,21210.5488728622
5/16/2023,18698.1482234997
5/17/2023,24141.2913795982
5/18/2023,22501.8303110307
5/19/2023,13216.9973593294
5/20/2023,5833.11539344282
5/21/2023,9494.53087933004
5/22/2023,14450.178029037
5/23/2023,18400.4533799333
5/24/2023,27192.1916095378
5/25/2023,20166.6344330369
5/26/2023,18184.2219864567
5/27/2023,6681.53521737626
5/28/2023,18568.5691444933
5/29/2023,19443.9605768509
5/30/2023,19952.4641131836
5/31/2023,24990.7299360129
6/1/2023,20222.7195169682
6/2/2023,19741.5281198778
6/3/2023,6848.98045480017
6/4/2023,7371.0667874176
6/5/2023,33771.4381428714
6/6/2023,33982.1117870003
6/7/2023,27716.2070127793
6/8/2023,15182.4144360192
6/9/2023,16024.8093346558
6/10/2023,29096.3896261521
6/11/2023,12674.0677566747
6/12/2023,16819.9964894408
6/13/2023,22111.3472264911
6/14/2023,25664.1172238352
6/15/2023,30402.2772622742
6/16/2023,26527.9348052951
6/17/2023,12015.2783515123
6/18/2023,8887.03767846124
6/19/2023,17687.4398603703
6/20/2023,44126.209124916
6/21/2023,55049.643688212
6/22/2023,28039.6662842715
6/23/2023,38428.5086554784
6/24/2023,12025.425519995
6/25/2023,11400.1469449393
